type,gap_start,gap_end,duration_sec,duration_human,severity,start_line,end_line
GAP,2026-04-10T13:26:39.919000,2026-04-10T14:26:41.919000,3602.0,1h 0m,CRITICAL,1105,1106
GAP,2026-04-10T14:49:40.919000,2026-04-10T15:49:41.919000,3601.0,1h 0m,CRITICAL,2016,2017
GAP,2026-04-11T08:31:11.919000,2026-04-11T09:31:13.919000,3602.0,1h 0m,CRITICAL,42230,42231
GAP,2026-04-11T18:42:36.919000,2026-04-11T19:42:37.919000,3601.0,1h 0m,CRITICAL,64297,64298
GAP,2026-04-11T21:23:06.919000,2026-04-11T22:23:08.919000,3602.0,1h 0m,CRITICAL,68324,68325
GAP,2026-04-12T00:49:08.919000,2026-04-12T01:49:09.919000,3601.0,1h 0m,CRITICAL,74215,74216
GAP,2026-04-12T01:54:41.919000,2026-04-12T02:54:42.919000,3601.0,1h 0m,CRITICAL,74437,74438
GAP,2026-04-12T06:32:50.919000,2026-04-12T07:32:52.919000,3602.0,1h 0m,CRITICAL,83173,83174
GAP,2026-04-12T10:14:07.919000,2026-04-12T11:14:09.919000,3602.0,1h 0m,CRITICAL,89590,89591
GAP,2026-04-12T13:24:00.919000,2026-04-12T14:24:01.919000,3601.0,1h 0m,CRITICAL,94818,94819
